metric,train_size,growth_factor,test_set,run,accuracy,error_rate
wer,0.1,0.5,test-clean,final,6.7075000000000005,93.2925
wer,100.0,-1.0,test-clean,final,70.32500000000002,29.674999999999983
wer,10.0,0.5,test-clean,final,62.73000000000002,37.26999999999998
wer,100.0,0.5,test-clean,final,84.21000000000002,15.789999999999978
wer,10.0,0.0,test-clean,extended,59.40500000000001,40.59499999999999
wer,10.0,8.0,dev-clean,final,4.5325000000000015,95.4675
wer,0.1,0.5,dev-clean,final,6.4525000000000015,93.5475
wer,0.1,2.0,test-clean,final,6.6175000000000015,93.3825
wer,10.0,0.5,dev-clean,final,61.80000000000001,38.19999999999999
wer,1.0,8.0,test-clean,final,11.217499999999998,88.7825
wer,0.1,-1.0,ood,final,6.177991886409745,93.82200811359026
wer,100.0,8.0,ood,final,7.0023326572007765,92.99766734279922
wer,1.0,-1.0,ood,final,7.070283975659204,92.92971602434079
wer,100.0,0.0,dev-clean,final,81.25750000000002,18.74249999999998
wer,10.0,1.0,test-clean,final,64.6425,35.3575
wer,0.1,8.0,dev-clean,final,9.0325,90.9675
wer,100.0,2.0,dev-clean,final,86.71749999999999,13.282500000000013
wer,10.0,0.0,dev-clean,final,58.27750000000001,41.72249999999999
wer,10.0,1.0,ood,final,27.547227856659962,72.45277214334004
wer,10.0,-1.0,test-clean,final,2.1775,97.8225
wer,10.0,8.0,test-clean,final,4.204999999999999,95.795
wer,10.0,2.0,ood,final,14.861359026369135,85.13864097363087
wer,1.0,1.0,dev-clean,final,5.319999999999999,94.68
wer,0.1,-1.0,test-clean,final,7.1,92.9
wer,100.0,1.0,ood,final,43.3513184584179,56.6486815415821
wer,0.1,0.5,ood,final,5.6036511156187,94.3963488843813
wer,1.0,2.0,test-clean,final,11.1475,88.85249999999999
wer,10.0,2.0,dev-clean,final,29.095,70.905
wer,1.0,1.0,test-clean,final,5.215000000000002,94.785
wer,10.0,0.0,test-clean,final,59.63,40.37
wer,0.1,0.0,dev-clean,final,6.3474999999999975,93.6525
wer,10.0,1.0,dev-clean,final,63.82499999999999,36.17500000000001
wer,0.1,1.0,ood,final,5.142596348884415,94.85740365111559
wer,10.0,0.0,dev-clean,extended,58.52750000000001,41.47249999999999
wer,1.0,1.0,ood,final,4.751081812035178,95.24891818796482
wer,100.0,8.0,test-clean,final,9.13,90.87
wer,10.0,0.5,ood,final,27.25554428668024,72.74445571331975
wer,1.0,0.0,dev-clean,final,12.2725,87.72749999999999
wer,100.0,0.5,dev-clean,final,84.79249999999998,15.207500000000024
wer,100.0,0.0,ood,final,35.60507099391491,64.39492900608509
wer,10.0,2.0,test-clean,final,29.807499999999994,70.19250000000001
wer,100.0,-1.0,dev-clean,final,70.465,29.534999999999997
wer,1.0,2.0,ood,final,8.428228532792367,91.57177146720764
wer,10.0,0.0,ood,final,25.1134888438134,74.8865111561866
wer,100.0,0.5,ood,final,40.73073022312385,59.26926977687615
wer,100.0,0.0,test-clean,final,81.18499999999997,18.815000000000026
wer,10.0,-1.0,ood,final,1.508350236646382,98.49164976335362
wer,1.0,2.0,dev-clean,final,10.552500000000002,89.44749999999999
wer,0.1,0.0,test-clean,final,6.6175000000000015,93.3825
wer,0.1,-1.0,dev-clean,final,6.8125,93.1875
wer,10.0,8.0,ood,final,5.5885395537525335,94.41146044624746
wer,0.1,2.0,dev-clean,final,6.3199999999999985,93.68
wer,1.0,0.5,ood,final,6.397160243407718,93.60283975659229
wer,1.0,0.0,test-clean,final,12.74,87.26
wer,100.0,1.0,test-clean,final,85.8,14.200000000000003
wer,100.0,-1.0,ood,final,34.73945233265729,65.2605476673427
wer,10.0,-1.0,dev-clean,final,1.9425,98.0575
wer,10.0,0.0,ood,extended,22.60469912102776,77.39530087897224
wer,1.0,-1.0,test-clean,final,9.1675,90.8325
wer,1.0,8.0,ood,final,8.083569979715987,91.91643002028401
wer,1.0,8.0,dev-clean,final,10.5375,89.4625
wer,100.0,8.0,dev-clean,final,9.3825,90.6175
wer,100.0,1.0,dev-clean,final,86.14250000000004,13.857499999999959
wer,0.1,8.0,test-clean,final,9.3475,90.6525
wer,100.0,2.0,ood,final,43.25283975659243,56.74716024340757
wer,0.1,1.0,test-clean,final,6.785000000000001,93.215
wer,1.0,0.0,ood,final,8.839012846517845,91.16098715348215
wer,0.1,8.0,ood,final,7.426707234617949,92.57329276538205
wer,0.1,1.0,dev-clean,final,6.529999999999999,93.47
wer,1.0,0.5,test-clean,final,8.8075,91.1925
wer,0.1,2.0,ood,final,4.944421906693749,95.05557809330625
wer,10.0,1.0,test-clean,extended,65.88250000000001,34.11749999999999
wer,0.1,0.0,ood,final,5.151893171061563,94.84810682893844
wer,1.0,0.5,dev-clean,final,8.360000000000001,91.64
wer,10.0,1.0,dev-clean,extended,65.39750000000001,34.60249999999999
wer,1.0,-1.0,dev-clean,final,8.892499999999998,91.1075
wer,10.0,1.0,ood,extended,28.14448951994593,71.85551048005406
wer,100.0,2.0,test-clean,final,86.19749999999996,13.802500000000038
cer,100.0,2.0,ood,final,75.32461122379989,24.67538877620011
cer,1.0,1.0,dev-clean,final,38.74750000000001,61.25249999999999
cer,10.0,1.0,ood,extended,65.90807978363746,34.09192021636254
cer,100.0,1.0,dev-clean,final,95.425,4.575000000000003
cer,0.1,0.5,dev-clean,final,41.925,58.075
cer,100.0,8.0,ood,final,52.774577417173795,47.225422582826205
cer,10.0,2.0,test-clean,final,64.2825,35.7175
cer,0.1,0.0,test-clean,final,41.59,58.41
cer,100.0,1.0,test-clean,final,95.36,4.640000000000001
cer,10.0,0.0,dev-clean,extended,84.76499999999997,15.235000000000028
cer,10.0,8.0,test-clean,final,42.695,57.305
cer,100.0,2.0,test-clean,final,95.4775,4.522499999999994
cer,1.0,2.0,ood,final,49.802670723461894,50.197329276538106
cer,1.0,2.0,test-clean,final,46.76749999999999,53.23250000000001
cer,100.0,0.0,ood,final,70.00338066260997,29.99661933739003
cer,1.0,8.0,ood,final,53.26227180527387,46.73772819472613
cer,10.0,0.5,dev-clean,final,85.5475,14.4525
cer,10.0,0.0,test-clean,extended,85.22250000000003,14.777499999999975
cer,1.0,8.0,dev-clean,final,48.7275,51.2725
cer,1.0,1.0,test-clean,final,39.07000000000001,60.92999999999999
cer,1.0,8.0,test-clean,final,49.23250000000001,50.76749999999999
cer,1.0,0.5,dev-clean,final,44.335,55.665
cer,10.0,-1.0,dev-clean,final,46.05,53.95
cer,10.0,8.0,dev-clean,final,42.72000000000001,57.27999999999999
cer,10.0,1.0,test-clean,extended,87.64249999999996,12.357500000000044
cer,10.0,1.0,ood,final,65.59070317782283,34.40929682217717
cer,1.0,-1.0,ood,final,46.67704530087892,53.32295469912108
cer,10.0,2.0,dev-clean,final,63.66499999999999,36.33500000000001
cer,100.0,-1.0,test-clean,final,87.78750000000002,12.212499999999977
cer,0.1,1.0,test-clean,final,40.32249999999999,59.67750000000001
cer,1.0,1.0,ood,final,41.107674104124456,58.892325895875544
cer,100.0,-1.0,ood,final,68.34070317782289,31.65929682217711
cer,10.0,-1.0,test-clean,final,45.915000000000006,54.084999999999994
cer,0.1,1.0,ood,final,36.02183908045981,63.97816091954019
cer,0.1,-1.0,test-clean,final,41.63999999999999,58.36000000000001
cer,0.1,2.0,test-clean,final,39.11500000000001,60.88499999999999
cer,100.0,8.0,test-clean,final,47.8975,52.1025
cer,0.1,8.0,dev-clean,final,44.42,55.58
cer,100.0,0.0,test-clean,final,93.74500000000003,6.254999999999967
cer,0.1,2.0,dev-clean,final,38.5475,61.4525
cer,0.1,2.0,ood,final,37.012474645030494,62.987525354969506
cer,0.1,-1.0,ood,final,38.26362407031787,61.73637592968213
cer,10.0,1.0,dev-clean,extended,87.31750000000002,12.682499999999976
cer,1.0,0.5,test-clean,final,44.76249999999999,55.23750000000001
cer,100.0,8.0,dev-clean,final,47.7625,52.2375
cer,100.0,0.0,dev-clean,final,93.8175,6.1825000000000045
cer,1.0,0.0,test-clean,final,50.6475,49.3525
cer,0.1,0.5,ood,final,41.268221771467225,58.731778228532775
cer,100.0,1.0,ood,final,74.94692359702508,25.053076402974924
cer,0.1,1.0,dev-clean,final,39.55250000000001,60.44749999999999
cer,0.1,0.0,ood,final,40.714503042596505,59.285496957403495
cer,0.1,8.0,test-clean,final,44.5375,55.4625
cer,10.0,0.5,test-clean,final,86.1325,13.867500000000007
cer,10.0,2.0,ood,final,53.73928329952664,46.26071670047336
cer,1.0,-1.0,dev-clean,final,47.64500000000001,52.35499999999999
cer,10.0,1.0,dev-clean,final,86.40999999999997,13.590000000000032
cer,10.0,8.0,ood,final,50.12025016903326,49.87974983096674
cer,0.1,-1.0,dev-clean,final,41.19,58.81
cer,1.0,2.0,dev-clean,final,46.00500000000001,53.99499999999999
cer,0.1,8.0,ood,final,45.56375929682212,54.43624070317788
cer,0.1,0.5,test-clean,final,41.66499999999999,58.33500000000001
cer,10.0,1.0,test-clean,final,86.88499999999998,13.115000000000023
cer,100.0,0.5,ood,final,73.70030425963478,26.299695740365223
cer,1.0,0.0,ood,final,48.17755240027051,51.82244759972949
cer,100.0,0.5,dev-clean,final,95.02749999999996,4.972500000000039
cer,10.0,-1.0,ood,final,46.132995267072445,53.867004732927555
cer,10.0,0.0,test-clean,final,84.475,15.525000000000006
cer,10.0,0.0,dev-clean,final,83.66,16.340000000000003
cer,1.0,0.0,dev-clean,final,50.1675,49.8325
cer,0.1,0.0,dev-clean,final,41.82000000000001,58.17999999999999
cer,10.0,0.0,ood,extended,61.978363759296805,38.021636240703195
cer,100.0,2.0,dev-clean,final,95.63249999999996,4.367500000000035
cer,10.0,0.0,ood,final,62.779648411088466,37.220351588911534
cer,1.0,-1.0,test-clean,final,47.5725,52.4275
cer,10.0,0.5,ood,final,64.87988505747111,35.120114942528886
cer,100.0,0.5,test-clean,final,94.855,5.144999999999996
cer,1.0,0.5,ood,final,44.04269776876272,55.95730223123728
cer,100.0,-1.0,dev-clean,final,87.91,12.090000000000003
